Folio,Incumplimiento,Estudiante,Saldo,Ingreso
1,No,No,729.5264952073,44361.6250742669
2,No,Yes,817.1804065555,12106.1347003149
3,No,No,1073.5491640117,31767.1389473999
4,No,No,529.2506047453,35704.4939350781
5,No,No,785.6558829305,38463.4958787229
6,No,Yes,919.5885304745,7491.5585718275
7,No,No,825.5133305172,24905.2265775235
8,No,Yes,808.6675042973,17600.4513435869
9,No,No,1161.0578540313,37468.5292875375
10,No,No,0,29275.2682931678
11,No,Yes,0,21871.0730892775
12,No,Yes,1220.5837530038,13268.5622209261
13,No,No,237.0451139775,28251.6953449631
14,No,No,606.7423433025,44994.5558492173
15,No,No,1112.9684006331,23810.174050036
16,No,No,286.2325601392,45042.4130358855
17,No,No,0,50265.3123535985
18,No,Yes,527.5401840746,17636.5396172936
19,No,No,485.9368641717,61566.106117801
20,No,No,1095.0727352874,26464.631389229
21,No,No,228.9525496426,50500.1821977441
22,No,No,954.2617927735,32457.5090750754
23,No,No,1055.9566047291,51317.8830823874
24,No,No,641.984388848,30466.1032574814
25,No,No,773.2117245342,34353.3143050038
26,No,No,855.0085225257,25211.3321614539
27,No,No,642.9997385154,41473.5118010187
28,No,No,1454.863272484,32189.0949523178
29,No,No,615.7042765604,39376.3946187014
30,No,Yes,1119.5693533287,16556.0702053511
31,No,No,494.8162288073,54384.7828361386
32,No,Yes,448.880656256,15799.4704097956
33,No,Yes,584.9048946825,22429.9350462168
34,No,No,913.5871726089,46907.2254028623
35,No,Yes,1423.9389166409,22634.4880875812
36,No,Yes,1499.7246565597,13190.6527164103
37,No,No,692.0341670654,47806.6117728963
38,No,No,351.453471523,35087.4886480858
39,No,No,742.6276207856,37864.8239388952
40,No,No,653.1184001234,39489.5947028613
41,No,No,872.1386795385,41787.5672689012
42,No,No,837.2626227542,51471.7720946377
43,No,No,1151.6305660827,42917.4695636282
44,No,Yes,220.5556083864,16872.9475557814
45,No,Yes,1690.234410387,19052.5722246955
46,No,No,408.7729143052,54206.9392120179
47,No,No,1238.6103212411,50066.6805336538
48,No,No,1228.3083503534,37408.5038685076
49,No,No,820.9192041462,47746.5420731016
50,No,No,857.4851177765,31688.3459738919
51,No,No,563.6181771824,42641.253266646
52,No,Yes,1282.9725335958,13120.6364696027
53,No,Yes,1505.7826748288,26557.1414458808
54,No,Yes,904.0402590668,16882.3006056535
55,No,No,0,49956.580571906
56,No,Yes,1294.4973466731,10464.3207319231
57,No,Yes,1275.5506327236,15887.4684867774
58,No,No,1536.5946009725,48766.9074575615
59,No,No,1332.522643867,39143.1370690178
60,No,No,492.0797678154,33379.0946028395
61,No,No,766.2343793039,46478.2942569524
62,No,No,690.1272462,63432.9842544674
63,No,No,0,32481.5400461151
64,No,No,1480.6553092627,36866.1570686848
65,No,No,989.0555969753,45344.2513202648
66,No,No,1302.3418351686,33695.4262332636
67,No,No,1044.5523432847,54696.7659816226
68,No,No,0,43658.2277239957
69,No,No,866.028436368,38363.4216347118
70,No,No,690.8007923541,48140.471335995
71,No,No,597.7571420171,31577.6151255677
72,No,No,429.4854023063,51311.218101023
73,No,No,1398.1562014833,39644.9421931896
74,No,Yes,1578.0640985399,19886.4939515168
75,No,No,857.0690531342,26655.6889653755
76,No,Yes,752.4599459588,16211.2757881826
77,No,Yes,774.7384269639,15193.733135525
78,No,No,728.3732513026,45131.718264691
79,No,No,76.9912905299,28392.0934122846
80,No,No,196.4569131362,41346.78591324
81,No,Yes,948.7479183886,14297.6190485513
82,No,No,431.9208853042,39369.8815631008
83,No,No,461.6381822338,46221.2114948234
84,No,No,572.0157602306,33046.3129575033
85,No,No,335.5681447332,51258.4442299621
86,No,No,510.2375931564,60397.7186486948
87,No,Yes,1005.1613055558,24038.6520433118
88,No,Yes,162.4544510866,13241.7520600759
89,No,No,932.5331556823,50537.4656484602
90,No,Yes,893.3304676123,11905.6817925484
91,No,No,1332.7825635257,44495.1627629054
92,No,No,1404.3830694522,35043.1060286742
93,No,Yes,1148.9651391593,16578.1921184729
94,No,No,368.2234257205,57596.8258431935
95,No,No,449.4666287693,45950.6667238687
96,No,No,820.0171125784,51584.6573183834
97,No,Yes,619.7518685756,15750.6220834223
98,No,No,1047.7181240096,46416.9709942419
99,No,No,243.8413283258,47193.8881309706
100,No,No,186.5003869315,45430.5502710943
101,No,No,1422.0184875758,38224.0315214972
102,No,No,383.7986590057,61425.286388114
103,No,No,1159.4350960886,45802.1049386909
104,No,No,882.9919125519,17181.7379663818
105,No,No,1463.2328916109,65457.8541875824
106,No,Yes,1722.3558462832,19311.4229408044
107,No,Yes,773.9218612577,14558.9121383835
108,No,No,958.169418469,32816.2847956415
109,No,No,1207.5327301495,68037.5751261777
110,No,No,1056.6108304963,30546.6010343774
111,No,No,117.6424839318,46550.2672705963
112,No,No,596.964119237,58088.3604512649
113,No,No,0,47729.6257581971
114,No,Yes,541.6627553245,16335.7034406021
115,No,No,1119.1783034181,45020.0191217013
116,No,Yes,810.3209364698,20498.66581411
117,No,No,271.551437747,32850.1201448079
118,No,No,1114.4032365043,47714.0221084582
119,No,No,867.0308280536,33540.9799848111
120,No,Yes,1176.7894016772,17632.712103849
121,No,No,610.2278186614,42465.3629640684
122,No,No,272.6156617155,55449.3386406402
123,No,No,449.7350858369,49643.4264416677
124,No,Yes,827.7672094003,10673.5262253922
125,No,No,430.0000994499,33925.2195976742
126,No,No,0,31825.7649719215
127,No,Yes,1557.3446366823,18404.594189222
128,No,No,928.2369662615,33722.1589415677
129,No,No,1373.4501632893,49101.7982141897
130,No,Yes,951.0729075,18601.5332374944
131,No,Yes,1292.2108685054,23065.850975377
132,No,No,582.1887007066,24760.7957330564
133,No,Yes,339.4246382809,19307.98029025
134,No,No,409.9823246088,44641.090118396
135,No,No,1216.4515095543,53639.8468273843
136,No,No,598.4613921236,44124.2681146436
137,Yes,Yes,1486.9981216002,17854.3970280731
138,No,No,943.7963387138,59976.8398676444
139,No,No,0,49525.7450208494
140,No,Yes,996.2760867666,20883.2407676238
141,No,Yes,748.3013403613,11248.6707527348
142,No,No,324.737921782,15411.5185672943
143,No,Yes,575.3821584895,16005.6813190057
144,No,No,441.7382849263,36012.2358964554
145,No,No,1188.6421795529,39526.5612652646
146,No,No,95.1476801904,51371.1999147598
147,No,No,1015.614837484,43218.794375243
148,No,No,1258.5673927257,44931.6749177461
149,No,Yes,1178.2444135285,7750.2892205592
150,No,No,731.5326562544,43956.0600839728
151,No,No,350.0887921399,44455.1995150356
152,No,No,418.8483454338,36901.7833281202
153,No,No,533.2294651814,39393.5424772748
154,No,No,95.2969741284,32359.3890284286
155,No,Yes,1453.005932073,15933.0021109819
156,No,No,352.6444140315,39404.7443664762
157,No,Yes,736.2389354625,14107.9939653376
158,No,No,1306.4845722752,41224.6250242432
159,No,No,1149.145627179,45194.7946620784
160,No,No,703.2268907215,57679.2791425179
161,No,Yes,1360.8004354124,18864.3084886679
162,No,No,31.4450805447,53287.3503013149
163,No,No,988.2144580694,48570.3634566328
164,No,No,360.0190735844,23927.5466133912
165,No,No,647.4835286193,33226.2775446785
166,No,Yes,0,9816.7894375576
167,No,No,445.2418192163,31974.6245068978
168,No,Yes,878.542064501,17496.7414821956
169,No,Yes,335.8341185762,21759.8702696952
170,No,No,666.6088814343,30438.4688266267
171,No,No,813.8766470199,40737.4597766098
172,No,No,836.3000716232,54607.1787395438
173,No,No,967.4826836818,33055.1102723298
174,Yes,Yes,2205.7995211483,14271.492252976
175,No,Yes,1258.1852191443,11672.2220033397
176,No,No,1239.8016990846,40107.1722104231
177,No,Yes,0,13760.2984556873
178,No,Yes,927.8877322636,22473.3796109537
179,No,Yes,1390.0307825189,21299.0992265335
180,No,No,410.497704768,53471.2136303255
181,No,No,73.0765421847,30681.7375351468
182,No,No,790.5977592474,45303.1033141261
183,No,No,789.4950969838,32579.9002059474
184,No,No,791.3604220787,46319.2361190854
185,No,No,479.0423789904,37255.8803342804
186,No,No,888.6132725502,28899.7917513637
187,No,No,1284.3863605064,42831.9546193997
188,No,Yes,712.2763512803,23341.9502302432
189,No,Yes,1290.6201686492,18408.0490819609
190,No,No,126.3626853991,44280.9297885654
191,No,No,779.3762576957,61158.8851121863
192,No,No,697.4909574638,49476.759599281
193,No,No,606.9746135483,43610.0330173371
194,No,Yes,1802.9033335574,21411.4239490249
195,No,No,900.0853325975,41276.5631894987
196,No,No,966.2802879681,33440.9792997775
197,No,No,671.0613596392,35689.1118739108
198,No,No,171.5591159599,23505.9927713232
199,No,No,1482.4803000632,45260.6115977848
200,No,No,640.6627517325,46464.5659322762
201,No,Yes,706.161027542,18078.3517921729
202,Yes,Yes,1774.6942230578,20359.5060855671
203,No,No,916.4993169231,25768.4074467213
204,No,No,1271.2708123604,36053.5029503061
205,No,No,110.572909812,47339.1087511931
206,No,No,1747.2588815296,37819.2890860198
207,Yes,No,1889.599189763,48956.1715885681
208,No,No,27.2013946506,21051.8401259701
209,No,No,746.2297750574,35159.8502288788
210,Yes,Yes,1899.3906258472,20655.2000032624
211,No,Yes,813.9945655253,20391.5289481713
212,No,No,499.4578150946,38899.1604610096
213,No,No,853.1613316609,36272.4517835911
214,No,No,474.7273190883,32064.3351057974
215,No,No,1235.8761134542,35838.7770153588
216,No,No,620.6751525956,44213.770101262
217,No,No,220.0285697649,37880.0296471597
218,No,Yes,1304.9142993183,18074.0754152021
219,No,Yes,1608.1525598434,22358.0467020111
220,No,No,256.4712275598,37657.0559167998
221,No,Yes,1153.6049981538,19224.9752298419
222,No,No,771.8958745085,31170.0852836766
223,No,Yes,1099.6304221773,17064.0428279584
224,No,No,782.8830296639,40357.1334266019
225,No,No,444.2649061753,35924.3387929274
226,No,No,504.028378738,24780.9612369205
227,No,No,1762.5034019882,42124.6600673934
228,No,Yes,850.0961165965,18618.9879075019
229,No,No,1412.2387213032,40785.0597694212
230,No,No,715.4968295887,47482.5653767305
231,No,No,1363.5285994213,55713.0416079129
232,No,No,493.2418897994,42495.2030840663
233,No,No,1354.7525372036,33375.1316903778
234,No,Yes,571.2939110152,15416.2693546858
235,No,No,956.1513521835,44086.7077342314
236,No,No,964.8202529854,34390.7460350566
237,No,No,552.6343660247,50513.1642384347
238,No,No,338.2662016471,37767.239862893
239,No,No,709.1233513562,44041.6300941084
240,No,No,978.9782004105,57839.0537343736
241,No,No,371.0101278175,15702.7070830359
242,Yes,Yes,1572.8564808236,14930.1783306833
243,No,No,0,40150.217981059
244,Yes,No,1964.4768722528,39054.5891443139
245,No,No,548.0377834425,33605.6494686572
246,No,No,1257.055221686,34045.0088247242
247,No,No,1189.9180569742,38016.8939028578
248,No,No,687.6837590149,39373.5797462415
249,No,No,845.6989658385,39899.5126808393
250,No,Yes,957.6848337701,19676.3456491723
251,No,No,233.5168462671,43326.105379399
252,No,Yes,1126.9487439212,14298.2645686729
253,No,Yes,488.8551765482,15159.4948475337
254,No,No,767.9035597805,44323.5796638006
255,No,No,561.9257991244,31388.5056454162
256,No,Yes,1092.2700127725,17454.6018395308
257,No,No,71.7886830036,31965.7447145836
258,No,Yes,1839.1436819622,13625.3979303665
259,No,Yes,876.0007779067,22474.5740898236
260,No,No,554.1078115356,30357.0259771625
261,No,No,891.3178980503,43945.0416541409
262,No,No,464.8363330958,27324.8996870729
263,No,Yes,563.5426611002,24082.0393441031
264,Yes,No,1530.3531571461,30003.8171511158
265,No,No,990.5670261863,41690.2526225589
266,No,No,590.3997864988,42769.2038801219
267,No,Yes,715.1641095743,21153.5110081716
268,No,No,1540.3777266777,41852.0784358238
269,No,No,1243.3265184083,41639.6803816334
270,No,Yes,235.3284999089,20909.7047538096
271,No,No,528.2543231704,49394.340774526
272,No,No,592.2538956229,30731.201603129
273,No,No,705.2049719862,42683.187243286
274,No,No,456.5156439906,48195.7758370754
275,No,Yes,470.7175746528,18052.1049990983
276,No,Yes,1503.0751298553,10600.4135403235
277,No,No,1362.9655954038,44217.9160352291
278,No,No,908.7715736879,45032.8459851152
279,No,Yes,1096.8202721452,16148.0600066064
280,No,No,369.2219424757,47835.0910453142
281,No,No,673.3998990463,50256.2902118721
282,No,No,1038.5000075215,51173.1413763774
283,No,No,0,28762.9237797484
284,No,No,527.1940865733,32431.1182596039
285,No,No,817.4693368161,32974.4273524307
286,No,Yes,1549.0427545174,19702.293205826
287,No,Yes,566.7137893516,11853.9531668182
288,No,No,1496.0564648759,24935.9187420962
289,No,No,862.6566564167,42844.8340023417
290,No,No,1259.1494178926,31263.641081672
291,No,No,1025.0388330316,43510.0496378576
292,No,Yes,703.2777871027,14793.7426766893
293,No,Yes,1082.3914973459,15175.3612149216
294,No,No,910.4490235336,44054.9164232696
295,No,Yes,996.5438621608,16995.6604049481
296,No,No,353.778226009,58514.3180764772
297,No,Yes,782.7108275006,13300.2974683438
298,No,No,1716.5954182442,51056.8682867977
299,No,Yes,502.8986383575,15153.965762645
300,No,No,1033.4684685052,59203.9676630271
301,No,No,0,34925.3654101008
302,No,Yes,1087.0834993683,19263.7695817024
303,No,No,1047.2442488139,43899.7592451193
304,No,No,1056.9273525241,38367.8679465264
