survived,sex,age,n_siblings_spouses,parch,fare,class,deck,embark_town,alone
0,male,22,1,0,7.25,Third,unknown,Southampton,n
1,female,38,1,0,71.2833,First,C,Cherbourg,n
1,female,26,0,0,7.925,Third,unknown,Southampton,y
1,female,35,1,0,53.1,First,C,Southampton,n
0,male,28,0,0,8.4583,Third,unknown,Queenstown,y
0,male,2,3,1,21.075,Third,unknown,Southampton,n
1,female,27,0,2,11.1333,Third,unknown,Southampton,n
1,female,14,1,0,30.0708,Second,unknown,Cherbourg,n
1,female,4,1,1,16.7,Third,G,Southampton,n
0,male,20,0,0,8.05,Third,unknown,Southampton,y
0,male,39,1,5,31.275,Third,unknown,Southampton,n
0,female,14,0,0,7.8542,Third,unknown,Southampton,y
0,male,2,4,1,29.125,Third,unknown,Queenstown,n
1,male,28,0,0,13,Second,unknown,Southampton,y
0,female,31,1,0,18,Third,unknown,Southampton,n
1,female,28,0,0,7.225,Third,unknown,Cherbourg,y
0,male,35,0,0,26,Second,unknown,Southampton,y
1,male,28,0,0,35.5,First,A,Southampton,y
1,female,38,1,5,31.3875,Third,unknown,Southampton,n
0,male,28,0,0,7.225,Third,unknown,Cherbourg,y
0,male,19,3,2,263,First,C,Southampton,n
1,female,28,0,0,7.8792,Third,unknown,Queenstown,y
0,male,28,0,0,7.8958,Third,unknown,Southampton,y
0,male,40,0,0,27.7208,First,unknown,Cherbourg,y
1,female,28,1,0,146.5208,First,B,Cherbourg,n
1,female,28,0,0,7.75,Third,unknown,Queenstown,y
0,male,66,0,0,10.5,Second,unknown,Southampton,y
0,male,28,1,0,82.1708,First,unknown,Cherbourg,n
0,male,42,1,0,52,First,unknown,Southampton,n
1,male,28,0,0,7.2292,Third,unknown,Cherbourg,y
1,female,14,1,0,11.2417,Third,unknown,Cherbourg,n
0,female,40,1,0,9.475,Third,unknown,Southampton,n
0,female,27,1,0,21,Second,unknown,Southampton,n
0,male,28,0,0,7.8958,Third,unknown,Cherbourg,y
1,female,3,1,2,41.5792,Second,unknown,Cherbourg,n
0,male,28,0,0,8.05,Third,unknown,Southampton,y
0,male,28,1,0,15.5,Third,unknown,Queenstown,n
0,male,28,2,0,21.6792,Third,unknown,Cherbourg,n
0,female,18,1,0,17.8,Third,unknown,Southampton,n
0,male,7,4,1,39.6875,Third,unknown,Southampton,n
1,female,49,1,0,76.7292,First,D,Cherbourg,n
1,female,29,1,0,26,Second,unknown,Southampton,n
0,male,65,0,1,61.9792,First,B,Cherbourg,n
1,male,28,0,0,35.5,First,C,Southampton,y
1,female,21,0,0,10.5,Second,unknown,Southampton,y
0,male,28.5,0,0,7.2292,Third,unknown,Cherbourg,y
0,male,11,5,2,46.9,Third,unknown,Southampton,n
0,male,22,0,0,7.2292,Third,unknown,Cherbourg,y
1,female,38,0,0,80,First,B,unknown,y
0,male,45,1,0,83.475,First,C,Southampton,n
0,male,4,3,2,27.9,Third,unknown,Southampton,n
1,male,28,1,1,15.2458,Third,unknown,Cherbourg,n
0,male,19,0,0,8.1583,Third,unknown,Southampton,y
1,female,17,4,2,7.925,Third,unknown,Southampton,n
0,male,26,2,0,8.6625,Third,unknown,Southampton,n
0,male,32,0,0,10.5,Second,unknown,Southampton,y
0,male,21,0,0,73.5,Second,unknown,Southampton,y
1,male,32,0,0,56.4958,Third,unknown,Southampton,y
0,male,25,0,0,7.65,Third,F,Southampton,y
0,male,28,0,0,7.8958,Third,unknown,Southampton,y
0,male,28,0,0,8.05,Third,unknown,Southampton,y
1,male,0.83,0,2,29,Second,unknown,Southampton,n
1,female,30,0,0,12.475,Third,unknown,Southampton,y
0,male,22,0,0,9,Third,unknown,Southampton,y
1,male,29,0,0,9.5,Third,unknown,Southampton,y
1,female,28,0,0,7.7875,Third,unknown,Queenstown,y
0,male,28,0,0,47.1,First,unknown,Southampton,y
0,male,16,1,3,34.375,Third,unknown,Southampton,n
0,male,28,0,0,8.05,Third,unknown,Southampton,y
1,female,23,3,2,263,First,C,Southampton,n
0,male,24,0,0,8.05,Third,unknown,Southampton,y
0,male,46,1,0,61.175,First,E,Southampton,n
0,male,59,0,0,7.25,Third,unknown,Southampton,y
0,male,28,0,0,8.05,Third,unknown,Southampton,y
0,male,71,0,0,34.6542,First,A,Cherbourg,y
1,male,23,0,1,63.3583,First,D,Cherbourg,n
1,female,34,0,1,23,Second,unknown,Southampton,n
0,male,34,1,0,26,Second,unknown,Southampton,n
0,female,28,0,0,7.8958,Third,unknown,Southampton,y
0,male,28,0,0,7.8958,Third,unknown,Southampton,y
0,male,21,0,1,77.2875,First,D,Southampton,n
0,male,33,0,0,8.6542,Third,unknown,Southampton,y
0,male,37,2,0,7.925,Third,unknown,Southampton,n
0,male,28,0,0,7.8958,Third,unknown,Southampton,y
1,male,28,0,0,7.775,Third,unknown,Southampton,y
1,female,28,1,0,24.15,Third,unknown,Queenstown,n
0,male,47,0,0,52,First,C,Southampton,y
0,female,14.5,1,0,14.4542,Third,unknown,Cherbourg,n
0,male,22,0,0,8.05,Third,unknown,Southampton,y
0,female,17,0,0,14.4583,Third,unknown,Cherbourg,y
0,male,21,0,0,7.925,Third,unknown,Southampton,y
0,male,70.5,0,0,7.75,Third,unknown,Queenstown,y
0,male,29,1,0,21,Second,unknown,Southampton,n
0,male,24,0,1,247.5208,First,B,Cherbourg,n
0,male,28,0,0,8.05,Third,unknown,Southampton,y
0,male,32.5,1,0,30.0708,Second,unknown,Cherbourg,n
1,female,32.5,0,0,13,Second,E,Southampton,y
0,male,28,0,0,7.75,Third,unknown,Queenstown,y
1,male,24,0,0,7.1417,Third,unknown,Southampton,y
0,male,45,0,0,6.975,Third,unknown,Southampton,y
0,male,20,0,0,7.05,Third,unknown,Southampton,y
0,female,47,1,0,14.5,Third,unknown,Southampton,n
0,male,23,0,0,15.0458,Second,unknown,Cherbourg,y
1,female,19,0,2,26.2833,First,D,Southampton,n
0,male,37,1,0,53.1,First,C,Southampton,n
0,male,16,0,0,9.2167,Third,unknown,Southampton,y
0,male,24,0,0,79.2,First,B,Cherbourg,y
0,female,28,0,2,15.2458,Third,unknown,Cherbourg,n
1,female,22,0,0,7.75,Third,unknown,Southampton,y
0,male,19,0,0,6.75,Third,unknown,Queenstown,y
0,male,18,0,0,11.5,Second,unknown,Southampton,y
0,female,9,2,2,34.375,Third,unknown,Southampton,n
0,male,51,0,0,12.525,Second,unknown,Southampton,y
0,male,55.5,0,0,8.05,Third,unknown,Southampton,y
0,male,40.5,0,2,14.5,Third,unknown,Southampton,n
0,male,28,0,0,7.3125,Third,unknown,Southampton,y
0,male,51,0,1,61.3792,First,unknown,Cherbourg,n
1,female,16,0,0,7.7333,Third,unknown,Queenstown,y
0,male,28,0,0,8.6625,Third,unknown,Southampton,y
0,male,28,8,2,69.55,Third,unknown,Southampton,n
0,male,44,0,1,16.1,Third,unknown,Southampton,n
0,male,26,0,0,7.775,Third,unknown,Southampton,y
0,male,17,0,0,8.6625,Third,unknown,Southampton,y
0,male,1,4,1,39.6875,Third,unknown,Southampton,n
1,female,28,0,1,55,First,E,Southampton,n
0,male,28,0,0,56.4958,Third,unknown,Southampton,y
0,male,4,4,1,29.125,Third,unknown,Queenstown,n
0,male,18,1,1,7.8542,Third,unknown,Southampton,n
0,male,28,3,1,25.4667,Third,unknown,Southampton,n
0,female,50,0,0,28.7125,First,C,Cherbourg,y
0,male,30,0,0,13,Second,unknown,Southampton,y
0,male,36,0,0,0,Third,unknown,Southampton,y
0,female,28,8,2,69.55,Third,unknown,Southampton,n
0,male,28,0,0,15.05,Second,unknown,Cherbourg,y
0,male,9,4,2,31.3875,Third,unknown,Southampton,n
1,female,4,0,2,22.025,Third,unknown,Southampton,n
1,female,28,1,0,15.5,Third,unknown,Queenstown,n
1,male,45,0,0,26.55,First,unknown,Southampton,y
0,male,36,0,0,7.8958,Third,unknown,Southampton,y
1,female,32,0,0,13,Second,unknown,Southampton,y
1,female,19,1,0,7.8542,Third,unknown,Southampton,n
1,male,3,1,1,26,Second,F,Southampton,n
1,female,44,0,0,27.7208,First,B,Cherbourg,y
1,female,58,0,0,146.5208,First,B,Cherbourg,y
0,male,28,0,0,7.75,Third,unknown,Queenstown,y
1,female,28,0,0,7.75,Third,unknown,Queenstown,y
0,female,24,0,0,13,Second,unknown,Southampton,y
0,male,28,0,0,9.5,Third,unknown,Southampton,y
0,male,28,8,2,69.55,Third,unknown,Southampton,n
0,male,34,0,0,6.4958,Third,unknown,Southampton,y
0,female,2,0,1,10.4625,Third,G,Southampton,n
0,male,32,1,0,15.85,Third,unknown,Southampton,n
1,male,26,0,0,18.7875,Third,unknown,Cherbourg,y
1,female,16,0,0,7.75,Third,unknown,Queenstown,y
1,male,40,0,0,31,First,A,Cherbourg,y
1,female,35,0,0,21,Second,unknown,Southampton,y
0,male,22,0,0,7.25,Third,unknown,Southampton,y
0,male,28,1,0,7.75,Third,unknown,Queenstown,n
1,female,31,1,0,113.275,First,D,Cherbourg,n
1,female,27,0,0,7.925,Third,unknown,Southampton,y
0,male,42,1,0,27,Second,unknown,Southampton,n
0,male,30,0,0,10.5,Second,unknown,Southampton,y
1,male,16,0,0,8.05,Third,unknown,Southampton,y
0,male,51,0,0,8.05,Third,unknown,Southampton,y
0,male,22,0,0,9.35,Third,unknown,Southampton,y
1,male,19,0,0,10.5,Second,unknown,Southampton,y
0,male,20.5,0,0,7.25,Third,unknown,Southampton,y
0,male,18,0,0,13,Second,unknown,Southampton,y
0,female,28,3,1,25.4667,Third,unknown,Southampton,n
1,female,35,1,0,83.475,First,C,Southampton,n
0,male,29,0,0,7.775,Third,unknown,Southampton,y
0,male,59,0,0,13.5,Second,unknown,Southampton,y
0,female,28,0,0,7.55,Third,unknown,Southampton,y
0,male,44,1,0,26,Second,unknown,Southampton,n
0,male,19,0,0,10.5,Second,unknown,Southampton,y
0,male,33,0,0,12.275,Second,unknown,Southampton,y
0,female,28,1,0,14.4542,Third,unknown,Cherbourg,n
1,female,28,1,0,15.5,Third,unknown,Queenstown,n
0,male,22,0,0,7.125,Third,unknown,Southampton,y
0,male,30,0,0,7.225,Third,unknown,Cherbourg,y
0,male,44,2,0,90,First,C,Queenstown,n
1,female,24,0,2,14.5,Second,unknown,Southampton,n
0,male,28,0,0,7.25,Third,unknown,Southampton,y
0,female,29,1,1,10.4625,Third,G,Southampton,n
0,male,30,1,0,16.1,Third,unknown,Southampton,n
0,female,41,0,2,20.2125,Third,unknown,Southampton,n
1,female,28,0,0,79.2,First,unknown,Cherbourg,y
1,female,35,0,0,512.3292,First,unknown,Cherbourg,y
1,female,50,0,1,26,Second,unknown,Southampton,n
0,male,28,0,0,7.75,Third,unknown,Queenstown,y
1,male,3,4,2,31.3875,Third,unknown,Southampton,n
0,male,40,0,0,0,First,B,Southampton,y
0,female,28,0,0,7.75,Third,unknown,Queenstown,y
0,male,36,0,0,10.5,Second,unknown,Southampton,y
0,male,16,4,1,39.6875,Third,unknown,Southampton,n
1,male,25,1,0,7.775,Third,unknown,Southampton,n
1,female,58,0,1,153.4625,First,C,Southampton,n
1,female,35,0,0,135.6333,First,C,Southampton,y
0,male,28,0,0,31,First,unknown,Southampton,y
1,male,25,0,0,0,Third,unknown,Southampton,y
1,female,41,0,1,19.5,Second,unknown,Southampton,n
0,male,37,0,1,29.7,First,C,Cherbourg,n
1,female,28,0,0,7.75,Third,unknown,Queenstown,y
1,female,63,1,0,77.9583,First,D,Southampton,n
0,female,45,0,0,7.75,Third,unknown,Southampton,y
0,male,28,0,0,0,Second,unknown,Southampton,y
0,male,7,4,1,29.125,Third,unknown,Queenstown,n
1,female,35,1,1,20.25,Third,unknown,Southampton,n
0,male,28,0,0,7.8542,Third,unknown,Southampton,y
0,male,16,0,0,9.5,Third,unknown,Southampton,y
0,male,28,0,0,26,First,A,Southampton,y
1,female,26,0,0,78.85,First,unknown,Southampton,y
0,male,36,0,0,12.875,Second,D,Cherbourg,y
0,male,24,0,0,7.8958,Third,unknown,Southampton,y
1,male,28,0,0,30.5,First,C,Southampton,y
1,female,50,0,1,247.5208,First,B,Cherbourg,n
1,female,28,0,0,7.75,Third,unknown,Queenstown,y
0,male,19,0,0,0,Third,unknown,Southampton,y
1,female,28,0,0,12.35,Second,E,Queenstown,y
0,male,28,0,0,8.05,Third,unknown,Southampton,y
1,female,28,0,0,110.8833,First,unknown,Cherbourg,y
1,female,17,1,0,108.9,First,C,Cherbourg,n
0,male,30,1,0,24,Second,unknown,Cherbourg,n
1,female,30,0,0,56.9292,First,E,Cherbourg,y
1,female,24,0,0,83.1583,First,C,Cherbourg,y
1,female,18,2,2,262.375,First,B,Cherbourg,n
0,female,26,1,1,26,Second,unknown,Southampton,n
0,male,28,0,0,7.8958,Third,unknown,Southampton,y
0,male,43,1,1,26.25,Second,unknown,Southampton,n
1,female,24,1,0,26,Second,unknown,Southampton,n
1,female,31,0,2,164.8667,First,C,Southampton,n
1,female,40,1,1,134.5,First,E,Cherbourg,n
0,male,22,0,0,7.25,Third,unknown,Southampton,y
0,male,27,0,0,7.8958,Third,unknown,Southampton,y
1,female,22,1,1,29,Second,unknown,Southampton,n
0,male,28,8,2,69.55,Third,unknown,Southampton,n
1,female,36,0,0,135.6333,First,C,Cherbourg,y
0,male,61,0,0,6.2375,Third,unknown,Southampton,y
1,female,31,1,1,20.525,Third,unknown,Southampton,n
1,female,28,2,0,23.25,Third,unknown,Queenstown,n
0,male,38,0,1,153.4625,First,C,Southampton,n
1,female,28,1,0,133.65,First,unknown,Southampton,n
0,male,28,0,0,7.8958,Third,unknown,Southampton,y
0,male,29,1,0,66.6,First,C,Southampton,n
1,male,45,0,0,8.05,Third,unknown,Southampton,y
0,male,45,0,0,35.5,First,unknown,Southampton,y
0,male,28,0,0,13,Second,unknown,Southampton,y
0,male,25,0,0,13,Second,unknown,Southampton,y
0,male,36,0,0,13,Second,unknown,Southampton,y
1,female,24,0,0,13,Second,F,Southampton,y
1,female,40,0,0,13,Second,unknown,Southampton,y
1,female,28,1,0,16.1,Third,unknown,Southampton,n
0,male,15,1,1,7.2292,Third,unknown,Cherbourg,n
0,male,25,1,0,17.8,Third,unknown,Southampton,n
0,male,28,0,0,7.225,Third,unknown,Cherbourg,y
0,male,28,0,0,9.5,Third,unknown,Southampton,y
1,female,22,0,1,55,First,E,Southampton,n
0,female,38,0,0,13,Second,unknown,Southampton,y
1,female,28,0,0,7.8792,Third,unknown,Queenstown,y
1,female,28,0,0,7.8792,Third,unknown,Queenstown,y
0,male,40,1,4,27.9,Third,unknown,Southampton,n
0,male,29,1,0,27.7208,Second,unknown,Cherbourg,n
0,female,45,0,1,14.4542,Third,unknown,Cherbourg,n
0,male,35,0,0,7.05,Third,unknown,Southampton,y
0,male,28,1,0,15.5,Third,unknown,Queenstown,n
1,female,60,1,0,75.25,First,D,Cherbourg,n
1,female,28,0,0,7.2292,Third,unknown,Cherbourg,y
1,female,28,0,0,7.75,Third,unknown,Queenstown,y
1,female,24,0,0,69.3,First,B,Cherbourg,y
0,male,18,1,0,6.4958,Third,unknown,Southampton,n
0,male,19,0,0,8.05,Third,unknown,Southampton,y
1,female,28,1,0,82.1708,First,unknown,Cherbourg,n
0,male,27,0,2,211.5,First,C,Cherbourg,n
0,male,19,0,0,7.775,Third,unknown,Southampton,y
1,female,42,0,0,227.525,First,unknown,Cherbourg,y
0,male,32,0,0,7.925,Third,unknown,Southampton,y
0,male,28,0,0,7.8958,Third,unknown,Southampton,y
0,male,18,0,0,73.5,Second,unknown,Southampton,y
0,male,1,5,2,46.9,Third,unknown,Southampton,n
0,male,28,0,0,7.7292,Third,unknown,Queenstown,y
1,female,17,0,0,12,Second,unknown,Cherbourg,y
1,male,36,1,2,120,First,B,Southampton,n
1,male,21,0,0,7.7958,Third,unknown,Southampton,y
1,female,23,1,0,113.275,First,D,Cherbourg,n
1,female,24,0,2,16.7,Third,G,Southampton,n
0,male,22,0,0,7.7958,Third,unknown,Southampton,y
0,female,31,0,0,7.8542,Third,unknown,Southampton,y
0,male,46,0,0,26,Second,unknown,Southampton,y
0,male,23,0,0,10.5,Second,unknown,Southampton,y
1,male,39,0,0,7.925,Third,unknown,Southampton,y
0,male,26,0,0,8.05,Third,unknown,Southampton,y
0,male,28,1,0,15.85,Third,unknown,Southampton,n
0,male,34,1,0,21,Second,unknown,Southampton,n
1,male,3,1,1,18.75,Second,unknown,Southampton,n
0,male,21,0,0,7.775,Third,unknown,Southampton,y
0,female,28,3,1,25.4667,Third,unknown,Southampton,n
0,male,28,0,0,7.8958,Third,unknown,Southampton,y
0,male,28,0,0,6.8583,Third,unknown,Queenstown,y
0,male,28,0,0,0,Second,unknown,Southampton,y
1,male,44,0,0,7.925,Third,unknown,Southampton,y
0,female,28,0,0,8.05,Third,unknown,Southampton,y
1,female,34,1,1,32.5,Second,unknown,Southampton,n
1,female,18,0,2,13,Second,unknown,Southampton,n
0,male,30,0,0,13,Second,unknown,Southampton,y
0,male,28,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,21,0,0,7.7333,Third,unknown,Queenstown,y
0,male,18,1,1,20.2125,Third,unknown,Southampton,n
1,female,19,0,0,26,Second,unknown,Southampton,y
0,male,28,0,0,7.75,Third,unknown,Queenstown,y
1,male,32,0,0,8.05,Third,E,Southampton,y
1,male,28,0,0,26.55,First,C,Southampton,y
1,female,28,1,0,16.1,Third,unknown,Southampton,n
1,female,42,1,0,26,Second,unknown,Southampton,n
0,male,17,0,0,7.125,Third,unknown,Southampton,y
0,male,50,1,0,55.9,First,E,Southampton,n
1,female,14,1,2,120,First,B,Southampton,n
1,female,24,2,3,18.75,Second,unknown,Southampton,n
0,male,64,1,4,263,First,C,Southampton,n
0,male,31,0,0,10.5,Second,unknown,Southampton,y
1,female,45,1,1,26.25,Second,unknown,Southampton,n
0,male,20,0,0,9.5,Third,unknown,Southampton,y
1,female,28,0,0,13,Second,unknown,Southampton,y
1,male,28,0,0,8.1125,Third,unknown,Southampton,y
1,male,34,0,0,26.55,First,unknown,Southampton,y
1,female,5,2,1,19.2583,Third,unknown,Cherbourg,n
1,male,52,0,0,30.5,First,C,Southampton,y
0,male,36,1,2,27.75,Second,unknown,Southampton,n
0,male,30,0,0,27.75,First,C,Cherbourg,y
1,male,49,1,0,89.1042,First,C,Cherbourg,n
1,male,29,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,65,0,0,26.55,First,E,Southampton,y
1,female,28,1,0,51.8625,First,D,Southampton,n
1,male,48,0,0,26.55,First,E,Southampton,y
0,male,34,0,0,8.05,Third,unknown,Southampton,y
0,male,47,0,0,38.5,First,E,Southampton,y
0,male,28,0,0,8.05,Third,unknown,Southampton,y
0,male,38,0,0,7.05,Third,unknown,Southampton,y
0,male,56,0,0,26.55,First,unknown,Southampton,y
0,male,28,0,0,7.725,Third,unknown,Queenstown,y
1,female,0.75,2,1,19.2583,Third,unknown,Cherbourg,n
0,male,28,0,0,7.25,Third,unknown,Southampton,y
1,female,33,1,2,27.75,Second,unknown,Southampton,n
1,female,23,0,0,13.7917,Second,D,Cherbourg,y
0,male,28,0,0,52,First,A,Southampton,y
0,male,34,1,0,21,Second,unknown,Southampton,n
0,male,29,1,0,7.0458,Third,unknown,Southampton,n
1,female,2,0,1,12.2875,Third,unknown,Southampton,n
0,male,9,5,2,46.9,Third,unknown,Southampton,n
0,male,28,0,0,0,Second,unknown,Southampton,y
1,female,63,0,0,9.5875,Third,unknown,Southampton,y
1,male,25,1,0,91.0792,First,B,Cherbourg,n
0,female,28,3,1,25.4667,Third,unknown,Southampton,n
1,female,35,1,0,90,First,C,Southampton,n
0,male,58,0,0,29.7,First,B,Cherbourg,y
1,male,9,1,1,15.9,Third,unknown,Southampton,n
0,male,28,1,0,19.9667,Third,unknown,Southampton,n
0,male,71,0,0,49.5042,First,unknown,Cherbourg,y
0,male,21,0,0,8.05,Third,unknown,Southampton,y
0,female,25,1,2,151.55,First,C,Southampton,n
0,male,17,0,0,8.6625,Third,unknown,Southampton,y
0,female,21,0,0,7.75,Third,unknown,Queenstown,y
0,female,37,0,0,9.5875,Third,unknown,Southampton,y
0,male,18,1,0,108.9,First,C,Cherbourg,n
1,female,33,0,2,26,Second,unknown,Southampton,n
1,male,28,0,0,26.55,First,unknown,Southampton,y
1,male,26,0,0,56.4958,Third,unknown,Southampton,y
1,female,54,1,0,59.4,First,unknown,Cherbourg,n
0,male,24,0,0,7.4958,Third,unknown,Southampton,y
0,male,47,0,0,34.0208,First,D,Southampton,y
1,female,34,0,0,10.5,Second,F,Southampton,y
1,female,36,1,0,26,Second,unknown,Southampton,n
0,male,32,0,0,7.8958,Third,unknown,Southampton,y
1,female,30,0,0,93.5,First,B,Southampton,y
0,male,22,0,0,7.8958,Third,unknown,Southampton,y
1,female,44,0,1,57.9792,First,B,Cherbourg,n
0,male,28,0,0,7.2292,Third,unknown,Cherbourg,y
0,male,40.5,0,0,7.75,Third,unknown,Queenstown,y
1,female,50,0,0,10.5,Second,unknown,Southampton,y
0,male,28,0,0,221.7792,First,C,Southampton,y
0,male,23,2,1,11.5,Second,unknown,Southampton,n
1,female,2,1,1,26,Second,unknown,Southampton,n
0,male,17,1,1,7.2292,Third,unknown,Cherbourg,n
1,female,28,0,2,22.3583,Third,unknown,Cherbourg,n
0,female,30,0,0,8.6625,Third,unknown,Southampton,y
1,female,7,0,2,26.25,Second,unknown,Southampton,n
0,male,45,0,0,26.55,First,B,Southampton,y
1,female,30,0,0,106.425,First,unknown,Cherbourg,y
1,female,22,0,2,49.5,First,B,Cherbourg,n
1,female,36,0,2,71,First,B,Southampton,n
0,female,9,4,2,31.275,Third,unknown,Southampton,n
0,female,11,4,2,31.275,Third,unknown,Southampton,n
0,male,50,1,0,106.425,First,C,Cherbourg,n
1,female,19,1,0,26,Second,unknown,Southampton,n
1,male,28,0,0,13.8625,Second,unknown,Cherbourg,y
0,male,33,1,1,20.525,Third,unknown,Southampton,n
1,male,17,0,2,110.8833,First,C,Cherbourg,n
0,male,27,0,0,26,Second,unknown,Southampton,y
0,male,28,0,0,7.8292,Third,unknown,Queenstown,y
1,female,22,0,0,7.775,Third,unknown,Southampton,y
1,female,48,1,0,39.6,First,A,Cherbourg,n
0,male,28,0,0,227.525,First,unknown,Cherbourg,y
1,female,39,1,1,79.65,First,E,Southampton,n
1,female,36,1,0,17.4,Third,unknown,Southampton,n
0,male,28,0,0,7.75,Third,unknown,Queenstown,y
0,male,40,0,0,7.8958,Third,unknown,Southampton,y
0,male,28,0,0,8.05,Third,unknown,Southampton,y
0,male,24,2,0,24.15,Third,unknown,Southampton,n
0,male,19,0,0,7.8958,Third,unknown,Southampton,y
0,female,29,0,4,21.075,Third,unknown,Southampton,n
1,male,32,0,0,7.8542,Third,unknown,Southampton,y
1,male,62,0,0,10.5,Second,unknown,Southampton,y
1,female,53,2,0,51.4792,First,C,Southampton,n
1,male,36,0,0,26.3875,First,E,Southampton,y
0,male,16,0,0,8.05,Third,unknown,Southampton,y
1,female,34,0,0,13,Second,unknown,Southampton,y
1,female,25,1,1,30,Second,unknown,Southampton,n
0,male,36,0,0,40.125,First,A,Cherbourg,y
0,male,47,0,0,15,Second,unknown,Southampton,y
1,male,60,1,1,79.2,First,B,Cherbourg,n
0,male,28,0,0,8.05,Third,unknown,Southampton,y
0,male,35,0,0,7.125,Third,unknown,Southampton,y
